Date,Open,High,Low,Close,Adj Close,Volume
2024-01-02,95.449997,95.949997,93.620003,93.669998,93.109802,8859700
2024-01-03,93.959999,94.239998,93.059998,93.230003,92.672440,7161700
2024-01-04,93.099998,94.580002,93.000000,93.550003,92.990524,7118600
2024-01-05,93.330002,93.580002,92.480003,92.989998,92.433868,7189900
2024-01-08,93.019997,94.570000,92.949997,94.190002,93.626701,7536900
2024-01-09,93.610001,93.730003,92.860001,93.089996,92.533272,6348500
2024-01-10,93.010002,93.690002,92.879997,93.500000,92.940826,5847700
2024-01-11,93.330002,93.639999,91.900002,92.940002,92.384178,6483600
2024-01-12,93.230003,93.400002,91.769997,91.980003,91.429916,5638700
2024-01-16,92.660004,92.730003,91.730003,92.699997,92.145607,7493400
2024-01-17,91.660004,91.959999,91.400002,91.769997,91.221169,6672900
2024-01-18,91.959999,93.430000,91.820000,93.339996,92.781776,7549500
2024-01-19,93.180000,94.239998,92.639999,93.860001,93.298668,9556100
2024-01-22,93.800003,93.919998,92.809998,93.070000,92.513397,9421000
2024-01-23,93.029999,93.650002,91.769997,91.970001,91.419975,10227100
2024-01-24,92.550003,92.839996,91.989998,92.040001,91.489555,7661400
2024-01-25,92.220001,92.650002,91.720001,92.610001,92.056145,11991500
2024-01-26,92.919998,93.489998,92.410004,92.800003,92.245010,9229400
2024-01-29,93.019997,93.930000,92.239998,93.800003,93.239037,12728100
2024-01-30,93.000000,94.680000,92.589996,94.080002,93.517357,17625200
2024-01-31,98.279999,98.360001,93.019997,93.029999,92.473633,26751800
2024-02-01,93.099998,93.599998,91.870003,93.370003,92.811607,15001500
2024-02-02,92.690002,93.610001,91.669998,92.989998,92.433868,11365900
2024-02-05,92.779999,92.870003,91.900002,92.510002,91.956749,7335800
2024-02-06,92.500000,95.699997,92.349998,95.669998,95.097847,11531500
2024-02-07,96.239998,96.660004,94.430000,95.309998,94.739998,9078000
2024-02-08,95.099998,96.690002,93.930000,96.589996,96.589996,9888100
2024-02-09,96.320000,97.989998,96.290001,97.300003,97.300003,9385600
2024-02-12,96.919998,97.139999,95.379997,95.470001,95.470001,9224400
2024-02-13,94.849998,95.559998,93.389999,93.870003,93.870003,8138500
2024-02-14,94.080002,94.470001,93.760002,94.070000,94.070000,5510600
2024-02-15,94.029999,94.239998,93.000000,93.220001,93.220001,8878000
2024-02-16,93.099998,94.180000,92.750000,93.220001,93.220001,5734200
2024-02-20,93.360001,94.120003,93.070000,93.459999,93.459999,8844500
2024-02-21,93.860001,95.769997,93.769997,95.019997,95.019997,8286300
2024-02-22,94.889999,96.080002,94.139999,95.779999,95.779999,8124700
2024-02-23,95.879997,96.930000,95.580002,95.620003,95.620003,6845200
2024-02-26,95.360001,95.570000,94.250000,94.279999,94.279999,7043800
2024-02-27,94.320000,94.660004,93.599998,94.129997,94.129997,5356100
2024-02-28,93.769997,93.970001,92.769997,93.000000,93.000000,5622400
2024-02-29,94.500000,95.099998,93.980003,94.900002,94.900002,11221100
2024-03-01,94.449997,94.570000,92.910004,93.160004,93.160004,7990800
2024-03-04,93.059998,93.320000,92.040001,92.459999,92.459999,7321000
2024-03-05,92.099998,92.169998,91.070000,91.220001,91.220001,7137300
2024-03-06,91.349998,92.029999,91.120003,91.650002,91.650002,4826900
2024-03-07,91.620003,91.760002,90.309998,90.949997,90.949997,8792400
2024-03-08,90.620003,91.529999,90.599998,91.059998,91.059998,7671500
2024-03-11,91.260002,92.959999,91.169998,92.070000,92.070000,6702300
2024-03-12,92.000000,92.720001,91.209999,92.400002,92.400002,9444900
2024-03-13,92.489998,92.870003,90.870003,91.610001,91.610001,8254500
2024-03-14,91.099998,91.709999,90.410004,91.660004,91.660004,8544800
2024-03-15,91.599998,92.019997,90.099998,90.120003,90.120003,18133600
2024-03-18,90.750000,91.430000,90.529999,91.010002,91.010002,7413900
2024-03-19,91.000000,91.900002,90.860001,91.589996,91.589996,5676500
2024-03-20,91.790001,92.629997,91.519997,92.599998,92.599998,5804400
2024-03-21,92.629997,93.169998,91.639999,91.660004,91.660004,6287300
2024-03-22,91.739998,91.779999,90.059998,90.709999,90.709999,6493800
2024-03-25,90.650002,91.120003,90.470001,90.669998,90.669998,6903000
2024-03-26,90.980003,91.000000,90.230003,90.360001,90.360001,6216100
2024-03-27,90.650002,91.830002,90.599998,91.500000,91.500000,5863700
2024-03-28,91.790001,92.239998,91.300003,91.389999,91.389999,6784300
